job_ref,region_code,region_name,patch_code,primary_channel,meter_type,job_type,status,requested_date,contact_date,booked_date,completed_date,engineer_id,contacts_count,abandoned_contacts,avg_handle_mins,cancellation_reason,abort_reason,revenue_gbp,cost_gbp,is_forecast
IMSERV-2024-0000071,SE,South East,SE-P1,Phone,SMETS2_GAS,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-13,2024-01-01,ENG-SE-001,2,0,7.67,,,90.0,48.0,0
IMSERV-2024-0000072,SE,South East,SE-P3,Web,SMETS2_GAS,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-SE-019,3,0,10.3,,,90.0,48.0,0
IMSERV-2024-0000073,SE,South East,SE-P4,Web,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-12,2024-01-01,ENG-SE-020,4,0,7.46,,,185.0,95.0,0
IMSERV-2024-0000074,SE,South East,SE-P6,Web,SMETS1,NEW_INSTALL,Aborted,2024-01-01,2024-01-01,2023-12-14,,ENG-SE-038,4,0,8.23,,No access,0.0,38.0,0
IMSERV-2024-0000075,SE,South East,SE-P2,App,IHD,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-SE-018,1,1,10.32,,,120.0,65.0,0
IMSERV-2024-0000076,SE,South East,SE-P7,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-SE-007,5,0,6.08,,,165.0,82.0,0
IMSERV-2024-0000077,SE,South East,SE-P7,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-SE-031,4,0,9.68,,,165.0,82.0,0
IMSERV-2024-0000078,SE,South East,SE-P6,Phone,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-SE-046,5,0,6.23,,,185.0,95.0,0
IMSERV-2024-0000079,SE,South East,SE-P3,Web,SMETS1,NEW_INSTALL,Aborted,2024-01-01,2024-01-01,2023-12-12,,ENG-SE-027,2,0,4.72,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000080,SE,South East,SE-P3,Phone,SMETS2,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-19,,ENG-SE-035,1,0,6.72,,,0.0,0.0,0
IMSERV-2024-0000081,SE,South East,SE-P8,Agent Callback,SMETS2_GAS,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-24,,,3,0,10.63,Rescheduled by customer,,0.0,0.0,0
IMSERV-2024-0000082,SE,South East,SE-P2,Web,SMETS2,REPAIR,Aborted,2024-01-01,2024-01-01,2023-12-20,,ENG-SE-026,2,0,7.92,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000083,SE,South East,SE-P8,App,SMETS1,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-22,2024-01-01,ENG-SE-016,2,0,11.0,,,120.0,65.0,0
IMSERV-2024-0000084,SE,South East,SE-P2,SMS,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-13,2024-01-01,ENG-SE-034,1,0,10.13,,,165.0,82.0,0
IMSERV-2024-0000085,SE,South East,SE-P4,Phone,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-27,2024-01-01,ENG-SE-036,5,0,9.0,,,165.0,82.0,0
IMSERV-2024-0000086,SE,South East,SE-P2,IVR,SMETS2,REMOVAL,Cancelled,2024-01-01,2024-01-01,2023-12-28,,,2,1,5.31,Equipment fault,,0.0,0.0,0
IMSERV-2024-0000087,SE,South East,SE-P5,Phone,SMETS1,REPAIR,Aborted,2024-01-01,2024-01-01,2023-12-21,,ENG-SE-013,1,0,10.11,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000088,SE,South East,SE-P6,SMS,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-SE-022,3,0,10.48,,,165.0,82.0,0
IMSERV-2024-0000089,SW,South West,SW-P3,IVR,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-SW-003,3,0,6.44,,,185.0,95.0,0
IMSERV-2024-0000090,SW,South West,SW-P2,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-12,2024-01-01,ENG-SW-002,5,0,7.79,,,165.0,82.0,0
IMSERV-2024-0000091,SW,South West,SW-P1,App,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-29,,,4,0,9.3,No access to meter,,0.0,0.0,0
IMSERV-2024-0000092,SW,South West,SW-P1,Phone,SMETS1,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-16,,ENG-SW-001,4,0,4.82,,,0.0,0.0,0
IMSERV-2024-0000093,SW,South West,SW-P3,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-SW-007,3,0,9.02,,,165.0,82.0,0
IMSERV-2024-0000094,SW,South West,SW-P2,Web,SMETS2,REPAIR,Booked,2024-01-01,2024-01-01,2023-12-14,,ENG-SW-006,5,0,8.22,,,0.0,0.0,0
IMSERV-2024-0000095,SW,South West,SW-P3,SMS,SMETS2,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-SW-015,3,0,7.64,,,90.0,48.0,0
IMSERV-2024-0000096,SW,South West,SW-P1,Web,SMETS2,REPAIR,Aborted,2024-01-01,2024-01-01,2023-12-15,,ENG-SW-005,3,0,7.44,,Parts not available,0.0,38.0,0
IMSERV-2024-0000097,SW,South West,SW-P2,Phone,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-12,2024-01-01,ENG-SW-010,1,0,9.19,,,185.0,95.0,0
IMSERV-2024-0000098,SW,South West,SW-P3,Phone,SMETS2,REMOVAL,Cancelled,2024-01-01,2024-01-01,2023-12-19,,,5,0,9.93,Safety concern,,0.0,0.0,0
IMSERV-2024-0000099,SW,South West,SW-P2,Phone,IHD,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-26,2024-01-01,ENG-SW-014,4,0,7.81,,,165.0,82.0,0
IMSERV-2024-0000100,SW,South West,SW-P4,Web,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-29,2024-01-01,ENG-SW-004,3,0,7.44,,,185.0,95.0,0
IMSERV-2024-0000101,WAL,Wales,WAL-P3,Phone,SMETS2_GAS,EXCHANGE,Booked,2024-01-01,2024-01-01,2023-12-25,,ENG-WAL-006,1,0,9.32,,,0.0,0.0,0
IMSERV-2024-0000102,WAL,Wales,WAL-P2,Web,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-26,2024-01-01,ENG-WAL-002,5,0,9.81,,,120.0,65.0,0
IMSERV-2024-0000103,WAL,Wales,WAL-P2,Web,SMETS2,REMOVAL,Cancelled,2024-01-01,2024-01-01,2023-12-21,,,4,0,8.56,Customer refused,,0.0,0.0,0
IMSERV-2024-0000104,WAL,Wales,WAL-P2,App,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-28,2024-01-01,ENG-WAL-005,4,1,7.23,,,185.0,95.0,0
IMSERV-2024-0000105,WAL,Wales,WAL-P3,Phone,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-27,2024-01-01,ENG-WAL-012,1,0,11.05,,,120.0,65.0,0
IMSERV-2024-0000106,WAL,Wales,WAL-P2,App,SMETS2_GAS,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-21,,ENG-WAL-008,1,0,11.98,,,0.0,0.0,0
IMSERV-2024-0000107,WAL,Wales,WAL-P1,Phone,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-WAL-004,5,0,5.84,,,120.0,65.0,0
IMSERV-2024-0000108,WAL,Wales,WAL-P1,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-WAL-007,1,0,10.44,,,165.0,82.0,0
IMSERV-2024-0000109,WAL,Wales,WAL-P3,Agent Callback,SMETS1,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-WAL-015,2,0,5.2,,,90.0,48.0,0
IMSERV-2024-0000110,SCO,Scotland,SCO-P4,App,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-14,2024-01-01,ENG-SCO-004,2,0,6.22,,,185.0,95.0,0
IMSERV-2024-0000111,SCO,Scotland,SCO-P2,Phone,SMETS2,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-18,,,5,0,7.36,Wrong meter type,,0.0,0.0,0
IMSERV-2024-0000112,SCO,Scotland,SCO-P2,Web,SMETS2,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-16,,,3,0,6.73,Customer not home,,0.0,0.0,0
IMSERV-2024-0000113,SCO,Scotland,SCO-P3,Phone,SMETS2_GAS,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-12,2024-01-01,ENG-SCO-003,4,0,6.47,,,90.0,48.0,0
IMSERV-2024-0000114,SCO,Scotland,SCO-P2,SMS,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-25,2024-01-01,ENG-SCO-002,4,0,7.42,,,185.0,95.0,0
IMSERV-2024-0000115,SCO,Scotland,SCO-P2,Web,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-SCO-006,4,0,7.91,,,120.0,65.0,0
IMSERV-2024-0000116,SCO,Scotland,SCO-P1,Web,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-SCO-001,3,0,8.08,,,120.0,65.0,0
IMSERV-2024-0000117,SCO,Scotland,SCO-P3,Web,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-19,2024-01-01,ENG-SCO-007,5,0,5.15,,,185.0,95.0,0
IMSERV-2024-0000118,SCO,Scotland,SCO-P2,Phone,SMETS2,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-19,,ENG-SCO-010,2,0,11.27,,No access,0.0,38.0,0
IMSERV-2024-0000119,SCO,Scotland,SCO-P2,Phone,SMETS2,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-23,,,3,0,8.54,Safety concern,,0.0,0.0,0
IMSERV-2024-0000120,SCO,Scotland,SCO-P2,Phone,IHD,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-14,2024-01-01,ENG-SCO-018,2,0,10.43,,,185.0,95.0,0
IMSERV-2024-0000121,SCO,Scotland,SCO-P3,Phone,SMETS2_GAS,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-24,,ENG-SCO-011,3,0,9.23,,,0.0,0.0,0
IMSERV-2024-0000122,SCO,Scotland,SCO-P2,App,SMETS1,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-SCO-022,3,0,11.93,,,90.0,48.0,0
IMSERV-2024-0000123,SCO,Scotland,SCO-P1,IVR,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-16,2024-01-01,ENG-SCO-005,2,0,11.33,,,165.0,82.0,0
IMSERV-2024-0000124,YRK,Yorkshire,YRK-P5,Web,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-15,2024-01-01,ENG-YRK-005,3,0,5.22,,,165.0,82.0,0
IMSERV-2024-0000125,YRK,Yorkshire,YRK-P3,Agent Callback,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-14,,,1,0,5.78,Rescheduled by customer,,0.0,0.0,0
IMSERV-2024-0000126,YRK,Yorkshire,YRK-P3,Phone,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-15,2024-01-01,ENG-YRK-003,5,1,6.43,,,185.0,95.0,0
IMSERV-2024-0000127,YRK,Yorkshire,YRK-P5,Web,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-19,2024-01-01,ENG-YRK-010,5,0,4.66,,,165.0,82.0,0
IMSERV-2024-0000128,YRK,Yorkshire,YRK-P3,SMS,SMETS2_GAS,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-24,,ENG-YRK-018,1,0,5.79,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000129,YRK,Yorkshire,YRK-P1,Phone,SMETS2,EXCHANGE,Booked,2024-01-01,2024-01-01,2023-12-19,,ENG-YRK-001,5,0,8.02,,,0.0,0.0,0
IMSERV-2024-0000130,YRK,Yorkshire,YRK-P4,SMS,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-YRK-009,2,0,9.05,,,165.0,82.0,0
IMSERV-2024-0000131,YRK,Yorkshire,YRK-P5,App,IHD,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-13,2024-01-01,ENG-YRK-015,1,0,5.89,,,120.0,65.0,0
