job_ref,region_code,region_name,patch_code,meter_type,job_type,status,requested_date,booked_date,completed_date,engineer_id,contacts_count,cancellation_reason,abort_reason,revenue_gbp,cost_gbp,is_forecast
IMSERV-2024-0000044,MID,Midlands,MID-P4,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-16,2024-01-01,ENG-MID-016,3,,,165.0,82.0,0
IMSERV-2024-0000045,MID,Midlands,MID-P1,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-25,,ENG-MID-026,1,,,0,0,0
IMSERV-2024-0000046,MID,Midlands,MID-P5,SMETS2,EXCHANGE,Cancelled,2024-01-01,2023-12-28,,,4,Safety concern,,0,0,0
IMSERV-2024-0000047,MID,Midlands,MID-P1,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-MID-001,1,,,120.0,65.0,0
IMSERV-2024-0000048,MID,Midlands,MID-P7,SMETS1,REPAIR,Cancelled,2024-01-01,2023-12-29,,,5,Equipment fault,,0,0,0
IMSERV-2024-0000049,MID,Midlands,MID-P6,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-24,,ENG-MID-018,4,,,0,0,0
IMSERV-2024-0000050,MID,Midlands,MID-P5,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-MID-041,5,,,165.0,82.0,0
IMSERV-2024-0000051,MID,Midlands,MID-P6,SMETS1,NEW_INSTALL,Completed,2024-01-01,2023-12-16,2024-01-01,ENG-MID-042,1,,,185.0,95.0,0
IMSERV-2024-0000052,MID,Midlands,MID-P7,SMETS2_GAS,NEW_INSTALL,Aborted,2024-01-01,2023-12-29,,ENG-MID-015,3,,Faulty meter location,0,95.0,0
IMSERV-2024-0000053,MID,Midlands,MID-P6,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-13,2024-01-01,ENG-MID-034,3,,,165.0,82.0,0
IMSERV-2024-0000054,MID,Midlands,MID-P4,SMETS1,EXCHANGE,Booked,2024-01-01,2023-12-13,,ENG-MID-003,2,,,0,0,0
IMSERV-2024-0000055,MID,Midlands,MID-P2,SMETS2,REMOVAL,Completed,2024-01-01,2023-12-26,2024-01-01,ENG-MID-003,3,,,90.0,48.0,0
IMSERV-2024-0000056,MID,Midlands,MID-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-26,2024-01-01,ENG-MID-044,1,,,185.0,95.0,0
IMSERV-2024-0000057,MID,Midlands,MID-P3,SMETS2,REPAIR,Booked,2024-01-01,2023-12-22,,ENG-MID-001,4,,,0,0,0
IMSERV-2024-0000058,MID,Midlands,MID-P6,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-14,2024-01-01,ENG-MID-012,3,,,185.0,95.0,0
IMSERV-2024-0000059,MID,Midlands,MID-P2,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-MID-041,1,,,120.0,65.0,0
IMSERV-2024-0000060,MID,Midlands,MID-P2,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-14,2024-01-01,ENG-MID-025,1,,,165.0,82.0,0
IMSERV-2024-0000061,MID,Midlands,MID-P2,SMETS2_GAS,REMOVAL,Booked,2024-01-01,2023-12-21,,ENG-MID-038,1,,,0,0,0
IMSERV-2024-0000062,SE,South East,SE-P6,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-SE-012,3,,,165.0,82.0,0
IMSERV-2024-0000063,SE,South East,SE-P5,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-SE-020,1,,,185.0,95.0,0
IMSERV-2024-0000064,SE,South East,SE-P4,SMETS2_GAS,REPAIR,Cancelled,2024-01-01,2023-12-20,,,3,Work order error,,0,0,0
IMSERV-2024-0000065,SE,South East,SE-P8,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-29,2024-01-01,ENG-SE-035,3,,,185.0,95.0,0
IMSERV-2024-0000066,SE,South East,SE-P7,SMETS1,REPAIR,Completed,2024-01-01,2023-12-27,2024-01-01,ENG-SE-005,5,,,120.0,65.0,0
IMSERV-2024-0000067,SE,South East,SE-P5,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-24,2024-01-01,ENG-SE-051,1,,,165.0,82.0,0
IMSERV-2024-0000068,SE,South East,SE-P4,SMETS2_GAS,REMOVAL,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-SE-009,2,,,90.0,48.0,0
IMSERV-2024-0000069,SE,South East,SE-P6,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-11,,ENG-SE-043,4,,,0,0,0
IMSERV-2024-0000070,SE,South East,SE-P2,SMETS1,REPAIR,Cancelled,2024-01-01,2023-12-11,,,2,Customer not home,,0,0,0
IMSERV-2024-0000071,SE,South East,SE-P2,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-SE-052,2,,,165.0,82.0,0
IMSERV-2024-0000072,SE,South East,SE-P8,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-SE-008,5,,,165.0,82.0,0
IMSERV-2024-0000073,SE,South East,SE-P2,SMETS1,REPAIR,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-SE-002,5,,,120.0,65.0,0
IMSERV-2024-0000074,SE,South East,SE-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-SE-024,4,,,185.0,95.0,0
IMSERV-2024-0000075,SE,South East,SE-P6,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-SE-031,4,,,165.0,82.0,0
IMSERV-2024-0000076,SE,South East,SE-P4,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2023-12-22,,,3,No access to meter,,0,0,0
IMSERV-2024-0000077,SE,South East,SE-P3,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-SE-014,2,,,165.0,82.0,0
IMSERV-2024-0000078,SE,South East,SE-P1,SMETS2,NEW_INSTALL,Aborted,2024-01-01,2023-12-19,,ENG-SE-021,3,,Parts not available,0,95.0,0
IMSERV-2024-0000079,SE,South East,SE-P1,IHD,REMOVAL,Completed,2024-01-01,2023-12-17,2024-01-01,ENG-SE-037,2,,,90.0,48.0,0
IMSERV-2024-0000080,SE,South East,SE-P7,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-29,2024-01-01,ENG-SE-009,2,,,185.0,95.0,0
IMSERV-2024-0000081,SE,South East,SE-P5,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-17,2024-01-01,ENG-SE-023,3,,,120.0,65.0,0
IMSERV-2024-0000082,SE,South East,SE-P6,SMETS2_GAS,NEW_INSTALL,Cancelled,2024-01-01,2023-12-26,,,5,Equipment fault,,0,0,0
IMSERV-2024-0000083,SE,South East,SE-P6,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-SE-042,5,,,185.0,95.0,0
IMSERV-2024-0000084,SE,South East,SE-P1,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-19,2024-01-01,ENG-SE-019,1,,,165.0,82.0,0
IMSERV-2024-0000085,SE,South East,SE-P3,SMETS2,EXCHANGE,Cancelled,2024-01-01,2023-12-13,,,1,Safety concern,,0,0,0
IMSERV-2024-0000086,SE,South East,SE-P6,SMETS2_GAS,EXCHANGE,Aborted,2024-01-01,2023-12-28,,ENG-SE-007,4,,No access,0,82.0,0
IMSERV-2024-0000087,SE,South East,SE-P7,IHD,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-SE-014,2,,,165.0,82.0,0
IMSERV-2024-0000088,SE,South East,SE-P3,SMETS2_GAS,EXCHANGE,Booked,2024-01-01,2023-12-29,,ENG-SE-035,2,,,0,0,0
IMSERV-2024-0000089,SE,South East,SE-P3,SMETS2_GAS,EXCHANGE,Booked,2024-01-01,2023-12-18,,ENG-SE-031,1,,,0,0,0
IMSERV-2024-0000090,SE,South East,SE-P7,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-SE-013,3,,,165.0,82.0,0
IMSERV-2024-0000091,SW,South West,SW-P1,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-26,2024-01-01,ENG-SW-008,1,,,120.0,65.0,0
IMSERV-2024-0000092,SW,South West,SW-P4,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-SW-006,1,,,165.0,82.0,0
IMSERV-2024-0000093,SW,South West,SW-P3,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-19,2024-01-01,ENG-SW-014,3,,,165.0,82.0,0
IMSERV-2024-0000094,SW,South West,SW-P3,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-SW-015,1,,,120.0,65.0,0
IMSERV-2024-0000095,SW,South West,SW-P3,SMETS1,NEW_INSTALL,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-SW-023,5,,,185.0,95.0,0
IMSERV-2024-0000096,SW,South West,SW-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-SW-008,3,,,185.0,95.0,0
IMSERV-2024-0000097,SW,South West,SW-P4,SMETS2,REPAIR,Booked,2024-01-01,2023-12-21,,ENG-SW-020,5,,,0,0,0
IMSERV-2024-0000098,SW,South West,SW-P4,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-13,2024-01-01,ENG-SW-013,3,,,165.0,82.0,0
IMSERV-2024-0000099,SW,South West,SW-P2,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-19,2024-01-01,ENG-SW-022,2,,,185.0,95.0,0
IMSERV-2024-0000100,SW,South West,SW-P3,SMETS2_GAS,NEW_INSTALL,Booked,2024-01-01,2023-12-13,,ENG-SW-020,4,,,0,0,0
IMSERV-2024-0000101,SW,South West,SW-P3,IHD,REMOVAL,Completed,2024-01-01,2023-12-29,2024-01-01,ENG-SW-012,5,,,90.0,48.0,0
IMSERV-2024-0000102,WAL,Wales,WAL-P2,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-14,2024-01-01,ENG-WAL-003,3,,,185.0,95.0,0
IMSERV-2024-0000103,WAL,Wales,WAL-P2,SMETS2_GAS,NEW_INSTALL,Cancelled,2024-01-01,2023-12-13,,,4,Equipment fault,,0,0,0
IMSERV-2024-0000104,WAL,Wales,WAL-P1,IHD,NEW_INSTALL,Completed,2024-01-01,2023-12-12,2024-01-01,ENG-WAL-009,5,,,185.0,95.0,0
IMSERV-2024-0000105,WAL,Wales,WAL-P1,SMETS1,REPAIR,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-WAL-010,3,,,120.0,65.0,0
IMSERV-2024-0000106,WAL,Wales,WAL-P3,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-13,2024-01-01,ENG-WAL-013,5,,,165.0,82.0,0
IMSERV-2024-0000107,WAL,Wales,WAL-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-WAL-008,3,,,185.0,95.0,0
IMSERV-2024-0000108,WAL,Wales,WAL-P1,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-WAL-020,2,,,165.0,82.0,0
IMSERV-2024-0000109,WAL,Wales,WAL-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-26,2024-01-01,ENG-WAL-018,1,,,185.0,95.0,0
IMSERV-2024-0000110,WAL,Wales,WAL-P1,SMETS2,REMOVAL,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-WAL-015,3,,,90.0,48.0,0
IMSERV-2024-0000111,WAL,Wales,WAL-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-WAL-016,1,,,185.0,95.0,0
IMSERV-2024-0000112,SCO,Scotland,SCO-P3,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-SCO-025,2,,,165.0,82.0,0
IMSERV-2024-0000113,SCO,Scotland,SCO-P2,SMETS2,NEW_INSTALL,Aborted,2024-01-01,2023-12-26,,ENG-SCO-012,1,,Parts not available,0,95.0,0
IMSERV-2024-0000114,SCO,Scotland,SCO-P1,SMETS1,REPAIR,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-SCO-011,3,,,120.0,65.0,0
IMSERV-2024-0000115,SCO,Scotland,SCO-P1,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-SCO-017,3,,,120.0,65.0,0
IMSERV-2024-0000116,SCO,Scotland,SCO-P1,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2023-12-28,,,1,Customer refused,,0,0,0
IMSERV-2024-0000117,SCO,Scotland,SCO-P2,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-21,,ENG-SCO-016,5,,,0,0,0
IMSERV-2024-0000118,SCO,Scotland,SCO-P1,SMETS1,REMOVAL,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-SCO-016,4,,,90.0,48.0,0
IMSERV-2024-0000119,SCO,Scotland,SCO-P1,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-SCO-026,5,,,165.0,82.0,0
IMSERV-2024-0000120,SCO,Scotland,SCO-P1,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2023-12-25,,,4,Rescheduled by customer,,0,0,0
IMSERV-2024-0000121,SCO,Scotland,SCO-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-19,2024-01-01,ENG-SCO-021,4,,,185.0,95.0,0
IMSERV-2024-0000122,SCO,Scotland,SCO-P1,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-SCO-025,3,,,185.0,95.0,0
IMSERV-2024-0000123,SCO,Scotland,SCO-P4,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-SCO-003,4,,,165.0,82.0,0
IMSERV-2024-0000124,SCO,Scotland,SCO-P4,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-16,2024-01-01,ENG-SCO-011,2,,,165.0,82.0,0
IMSERV-2024-0000125,SCO,Scotland,SCO-P3,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-SCO-016,1,,,165.0,82.0,0
IMSERV-2024-0000126,YRK,Yorkshire,YRK-P1,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-24,2024-01-01,ENG-YRK-007,2,,,165.0,82.0,0
IMSERV-2024-0000127,YRK,Yorkshire,YRK-P5,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-27,2024-01-01,ENG-YRK-022,4,,,185.0,95.0,0
IMSERV-2024-0000128,YRK,Yorkshire,YRK-P4,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-17,2024-01-01,ENG-YRK-034,3,,,165.0,82.0,0
IMSERV-2024-0000129,YRK,Yorkshire,YRK-P1,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-YRK-003,3,,,165.0,82.0,0
IMSERV-2024-0000130,YRK,Yorkshire,YRK-P2,SMETS1,NEW_INSTALL,Completed,2024-01-01,2023-12-17,2024-01-01,ENG-YRK-028,4,,,185.0,95.0,0
IMSERV-2024-0000131,YRK,Yorkshire,YRK-P1,SMETS2,REMOVAL,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-YRK-017,4,,,90.0,48.0,0
IMSERV-2024-0000132,YRK,Yorkshire,YRK-P1,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-YRK-009,1,,,165.0,82.0,0
IMSERV-2024-0000133,YRK,Yorkshire,YRK-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-12,2024-01-01,ENG-YRK-023,1,,,185.0,95.0,0
IMSERV-2024-0000134,YRK,Yorkshire,YRK-P2,SMETS2,REMOVAL,Aborted,2024-01-01,2023-12-28,,ENG-YRK-007,5,,Customer unavailable,0,48.0,0
IMSERV-2024-0000135,YRK,Yorkshire,YRK-P1,SMETS1,EXCHANGE,Booked,2024-01-01,2023-12-23,,ENG-YRK-027,1,,,0,0,0
IMSERV-2024-0000136,YRK,Yorkshire,YRK-P3,SMETS1,EXCHANGE,Cancelled,2024-01-01,2023-12-12,,,3,Customer refused,,0,0,0
IMSERV-2024-0000137,YRK,Yorkshire,YRK-P4,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-25,2024-01-01,ENG-YRK-017,1,,,165.0,82.0,0
IMSERV-2024-0000138,YRK,Yorkshire,YRK-P3,IHD,NEW_INSTALL,Completed,2024-01-01,2023-12-29,2024-01-01,ENG-YRK-009,1,,,185.0,95.0,0
IMSERV-2024-0000139,YRK,Yorkshire,YRK-P4,SMETS2,REPAIR,Completed,2024-01-01,2023-12-12,2024-01-01,ENG-YRK-017,1,,,120.0,65.0,0
IMSERV-2024-0000140,YRK,Yorkshire,YRK-P5,SMETS2,EXCHANGE,Cancelled,2024-01-01,2023-12-24,,,1,Work order error,,0,0,0
IMSERV-2024-0000141,YRK,Yorkshire,YRK-P2,SMETS2,EXCHANGE,Cancelled,2024-01-01,2023-12-26,,,4,Customer refused,,0,0,0
IMSERV-2024-0000142,YRK,Yorkshire,YRK-P1,SMETS2,REPAIR,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-YRK-027,5,,,120.0,65.0,0
IMSERV-2024-0000143,NW,North West,NW-P3,SMETS2,REPAIR,Completed,2024-01-02,2023-12-13,2024-01-02,ENG-NW-008,5,,,120.0,65.0,0
IMSERV-2024-0000144,NW,North West,NW-P4,SMETS2,EXCHANGE,Completed,2024-01-02,2023-12-21,2024-01-02,ENG-NW-020,1,,,165.0,82.0,0
IMSERV-2024-0000145,NW,North West,NW-P5,SMETS2,EXCHANGE,Completed,2024-01-02,2023-12-13,2024-01-02,ENG-NW-005,5,,,165.0,82.0,0
IMSERV-2024-0000146,NW,North West,NW-P1,IHD,REMOVAL,Completed,2024-01-02,2023-12-14,2024-01-02,ENG-NW-028,4,,,90.0,48.0,0
IMSERV-2024-0000147,NW,North West,NW-P5,SMETS2_GAS,REPAIR,Completed,2024-01-02,2023-12-23,2024-01-02,ENG-NW-013,4,,,120.0,65.0,0
IMSERV-2024-0000148,NW,North West,NW-P4,SMETS1,NEW_INSTALL,Completed,2024-01-02,2023-12-24,2024-01-02,ENG-NW-004,3,,,185.0,95.0,0
IMSERV-2024-0000149,NW,North West,NW-P3,SMETS2,NEW_INSTALL,Completed,2024-01-02,2023-12-13,2024-01-02,ENG-NW-027,4,,,185.0,95.0,0
IMSERV-2024-0000150,NW,North West,NW-P5,SMETS2,NEW_INSTALL,Completed,2024-01-02,2023-12-24,2024-01-02,ENG-NW-031,4,,,185.0,95.0,0
IMSERV-2024-0000151,NW,North West,NW-P6,SMETS2,NEW_INSTALL,Cancelled,2024-01-02,2023-12-15,,,3,Wrong meter type,,0,0,0
IMSERV-2024-0000152,NW,North West,NW-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-02,2023-12-14,2024-01-02,ENG-NW-017,3,,,185.0,95.0,0
IMSERV-2024-0000153,NW,North West,NW-P1,SMETS2,REPAIR,Completed,2024-01-02,2023-12-25,2024-01-02,ENG-NW-027,2,,,120.0,65.0,0
IMSERV-2024-0000154,NW,North West,NW-P6,SMETS1,EXCHANGE,Completed,2024-01-02,2023-12-28,2024-01-02,ENG-NW-004,5,,,165.0,82.0,0
IMSERV-2024-0000155,NW,North West,NW-P2,SMETS2,EXCHANGE,Booked,2024-01-02,2023-12-12,,ENG-NW-024,2,,,0,0,0
IMSERV-2024-0000156,NW,North West,NW-P6,SMETS2_GAS,EXCHANGE,Cancelled,2024-01-02,2023-12-18,,,3,Work order error,,0,0,0
IMSERV-2024-0000157,NW,North West,NW-P3,SMETS2,NEW_INSTALL,Completed,2024-01-02,2023-12-21,2024-01-02,ENG-NW-006,2,,,185.0,95.0,0
