year,month,month_name,quarter,region_code,region_name,job_type,total_requests,completions,cancellations,aborts,revenue_gbp,direct_cost_gbp,overhead_gbp,total_cost_gbp,margin_gbp,margin_pct,cost_per_completion,is_forecast
2025,1,January,Q1,SCO,Scotland,REPAIR,70,50,9,5,6000,3440,756.8,4196.8,1803.2,30.05,83.94,0
2025,1,January,Q1,SE,South East,EXCHANGE,265,171,51,17,28215,14668,3226.96,17894.96,10320.04,36.58,104.65,0
2025,1,January,Q1,SE,South East,NEW_INSTALL,247,172,31,22,31820,17176,3778.72,20954.72,10865.28,34.15,121.83,0
2025,1,January,Q1,SE,South East,REMOVAL,49,35,7,4,3150,1832,403.04,2235.04,914.96,29.05,63.86,0
2025,1,January,Q1,SE,South East,REPAIR,126,82,25,5,9840,5520,1214.4,6734.4,3105.6,31.56,82.13,0
2025,1,January,Q1,SW,South West,EXCHANGE,126,80,19,10,13200,6940,1526.8,8466.8,4733.2,35.86,105.83,0
2025,1,January,Q1,SW,South West,NEW_INSTALL,110,76,13,12,14060,7676,1688.72,9364.72,4695.28,33.39,123.22,0
2025,1,January,Q1,SW,South West,REMOVAL,20,16,3,0,1440,768,168.96,936.96,503.04,34.93,58.56,0
2025,1,January,Q1,SW,South West,REPAIR,52,34,3,4,4080,2362,519.64,2881.64,1198.36,29.37,84.75,0
2025,1,January,Q1,WAL,Wales,EXCHANGE,95,60,17,10,9900,5300,1166,6466,3434,34.69,107.77,0
2025,1,January,Q1,WAL,Wales,NEW_INSTALL,98,69,12,10,12765,6935,1525.7,8460.7,4304.3,33.72,122.62,0
2025,1,January,Q1,WAL,Wales,REMOVAL,13,10,1,1,900,518,113.96,631.96,268.04,29.78,63.2,0
2025,1,January,Q1,WAL,Wales,REPAIR,46,39,3,0,4680,2535,557.7,3092.7,1587.3,33.92,79.3,0
2025,1,January,Q1,YRK,Yorkshire,EXCHANGE,163,103,22,16,16995,9054,1991.88,11045.88,5949.12,35.01,107.24,0
2025,1,January,Q1,YRK,Yorkshire,NEW_INSTALL,162,118,23,12,21830,11666,2566.52,14232.52,7597.48,34.8,120.61,0
2025,1,January,Q1,YRK,Yorkshire,REMOVAL,31,24,5,1,2160,1190,261.8,1451.8,708.2,32.79,60.49,0
2025,1,January,Q1,YRK,Yorkshire,REPAIR,83,64,15,2,7680,4236,931.92,5167.92,2512.08,32.71,80.75,0
2025,2,February,Q1,MID,Midlands,EXCHANGE,185,132,23,14,21780,11356,2498.32,13854.32,7925.68,36.39,104.96,0
2025,2,February,Q1,MID,Midlands,NEW_INSTALL,170,117,18,15,21645,11685,2570.7,14255.7,7389.3,34.14,121.84,0
2025,2,February,Q1,MID,Midlands,REMOVAL,33,22,5,2,1980,1132,249.04,1381.04,598.96,30.25,62.77,0
2025,2,February,Q1,MID,Midlands,REPAIR,86,64,10,8,7680,4464,982.08,5446.08,2233.92,29.09,85.09,0
2025,2,February,Q1,NE,North East,EXCHANGE,117,78,15,11,12870,6814,1499.08,8313.08,4556.92,35.41,106.58,0
2025,2,February,Q1,NE,North East,NEW_INSTALL,87,65,11,9,12025,6517,1433.74,7950.74,4074.26,33.88,122.32,0
2025,2,February,Q1,NE,North East,REMOVAL,22,15,1,5,1350,910,200.2,1110.2,239.8,17.76,74.01,0
2025,2,February,Q1,NE,North East,REPAIR,50,39,5,2,4680,2611,574.42,3185.42,1494.58,31.94,81.68,0
2025,2,February,Q1,NW,North West,EXCHANGE,164,110,23,16,18150,9628,2118.16,11746.16,6403.84,35.28,106.78,0
2025,2,February,Q1,NW,North West,NEW_INSTALL,131,95,17,8,17575,9329,2052.38,11381.38,6193.62,35.24,119.8,0
2025,2,February,Q1,NW,North West,REMOVAL,29,19,5,2,1710,988,217.36,1205.36,504.64,29.51,63.44,0
2025,2,February,Q1,NW,North West,REPAIR,62,37,10,7,4440,2671,587.62,3258.62,1181.38,26.61,88.07,0
2025,2,February,Q1,SCO,Scotland,EXCHANGE,90,59,15,6,9735,5066,1114.52,6180.52,3554.48,36.51,104.75,0
2025,2,February,Q1,SCO,Scotland,NEW_INSTALL,99,71,11,8,13135,7049,1550.78,8599.78,4535.22,34.53,121.12,0
2025,2,February,Q1,SCO,Scotland,REMOVAL,22,15,5,2,1350,796,175.12,971.12,378.88,28.07,64.74,0
2025,2,February,Q1,SCO,Scotland,REPAIR,49,34,7,2,4080,2286,502.92,2788.92,1291.08,31.64,82.03,0
2025,2,February,Q1,SE,South East,EXCHANGE,222,144,39,16,23760,12416,2731.52,15147.52,8612.48,36.25,105.19,0
2025,2,February,Q1,SE,South East,NEW_INSTALL,196,114,41,18,21090,11514,2533.08,14047.08,7042.92,33.39,123.22,0
2025,2,February,Q1,SE,South East,REMOVAL,37,25,6,3,2250,1314,289.08,1603.08,646.92,28.75,64.12,0
2025,2,February,Q1,SE,South East,REPAIR,87,61,7,7,7320,4231,930.82,5161.82,2158.18,29.48,84.62,0
2025,2,February,Q1,SW,South West,EXCHANGE,87,68,5,7,11220,5842,1285.24,7127.24,4092.76,36.48,104.81,0
2025,2,February,Q1,SW,South West,NEW_INSTALL,87,64,8,2,11840,6156,1354.32,7510.32,4329.68,36.57,117.35,0
2025,2,February,Q1,SW,South West,REMOVAL,14,8,2,1,720,422,92.84,514.84,205.16,28.49,64.36,0
2025,2,February,Q1,SW,South West,REPAIR,52,38,6,5,4560,2660,585.2,3245.2,1314.8,28.83,85.4,0
2025,2,February,Q1,WAL,Wales,EXCHANGE,79,52,8,8,8580,4568,1004.96,5572.96,3007.04,35.05,107.17,0
2025,2,February,Q1,WAL,Wales,NEW_INSTALL,77,49,10,9,9065,4997,1099.34,6096.34,2968.66,32.75,124.42,0
2025,2,February,Q1,WAL,Wales,REMOVAL,13,7,2,2,630,412,90.64,502.64,127.36,20.22,71.81,0
2025,2,February,Q1,WAL,Wales,REPAIR,30,18,8,2,2160,1246,274.12,1520.12,639.88,29.62,84.45,0
2025,2,February,Q1,YRK,Yorkshire,EXCHANGE,133,86,21,9,14190,7394,1626.68,9020.68,5169.32,36.43,104.89,0
2025,2,February,Q1,YRK,Yorkshire,NEW_INSTALL,123,78,24,9,14430,7752,1705.44,9457.44,4972.56,34.46,121.25,0
2025,2,February,Q1,YRK,Yorkshire,REMOVAL,15,10,2,1,900,518,113.96,631.96,268.04,29.78,63.2,0
2025,2,February,Q1,YRK,Yorkshire,REPAIR,68,39,9,10,4680,2915,641.3,3556.3,1123.7,24.01,91.19,0
2025,3,March,Q1,MID,Midlands,EXCHANGE,166,124,16,10,20460,10548,2320.56,12868.56,7591.44,37.1,103.78,0
2025,3,March,Q1,MID,Midlands,NEW_INSTALL,181,123,28,9,22755,12027,2645.94,14672.94,8082.06,35.52,119.29,0
2025,3,March,Q1,MID,Midlands,REMOVAL,39,25,8,1,2250,1238,272.36,1510.36,739.64,32.87,60.41,0
2025,3,March,Q1,MID,Midlands,REPAIR,82,58,15,7,6960,4036,887.92,4923.92,2036.08,29.25,84.9,0
2025,3,March,Q1,NE,North East,EXCHANGE,122,80,23,11,13200,6978,1535.16,8513.16,4686.84,35.51,106.41,0
2025,3,March,Q1,NE,North East,NEW_INSTALL,78,49,11,8,9065,4959,1090.98,6049.98,3015.02,33.26,123.47,0
2025,3,March,Q1,NE,North East,REMOVAL,25,16,5,1,1440,806,177.32,983.32,456.68,31.71,61.46,0
2025,3,March,Q1,NE,North East,REPAIR,50,27,6,5,3240,1945,427.9,2372.9,867.1,26.76,87.89,0
2025,3,March,Q1,NW,North West,EXCHANGE,135,88,19,13,14520,7710,1696.2,9406.2,5113.8,35.22,106.89,0
2025,3,March,Q1,NW,North West,NEW_INSTALL,143,87,29,15,16095,8835,1943.7,10778.7,5316.3,33.03,123.89,0
2025,3,March,Q1,NW,North West,REMOVAL,32,27,2,0,2430,1296,285.12,1581.12,848.88,34.93,58.56,0
2025,3,March,Q1,NW,North West,REPAIR,70,50,11,1,6000,3288,723.36,4011.36,1988.64,33.14,80.23,0
2025,3,March,Q1,SCO,Scotland,EXCHANGE,101,65,21,6,10725,5558,1222.76,6780.76,3944.24,36.78,104.32,0
2025,3,March,Q1,SCO,Scotland,NEW_INSTALL,85,61,13,6,11285,6023,1325.06,7348.06,3936.94,34.89,120.46,0
2025,3,March,Q1,SCO,Scotland,REMOVAL,24,17,4,2,1530,892,196.24,1088.24,441.76,28.87,64.01,0
2025,3,March,Q1,SCO,Scotland,REPAIR,55,35,5,5,4200,2465,542.3,3007.3,1192.7,28.4,85.92,0
2025,3,March,Q1,SE,South East,EXCHANGE,224,155,32,14,25575,13242,2913.24,16155.24,9419.76,36.83,104.23,0
2025,3,March,Q1,SE,South East,NEW_INSTALL,186,134,19,12,24790,13186,2900.92,16086.92,8703.08,35.11,120.05,0
2025,3,March,Q1,SE,South East,REMOVAL,25,20,3,0,1800,960,211.2,1171.2,628.8,34.93,58.56,0
2025,3,March,Q1,SE,South East,REPAIR,111,78,14,8,9360,5374,1182.28,6556.28,2803.72,29.95,84.05,0
2025,3,March,Q1,SW,South West,EXCHANGE,116,83,13,12,13695,7262,1597.64,8859.64,4835.36,35.31,106.74,0
2025,3,March,Q1,SW,South West,NEW_INSTALL,77,52,12,2,9620,5016,1103.52,6119.52,3500.48,36.39,117.68,0
2025,3,March,Q1,SW,South West,REMOVAL,16,12,3,1,1080,614,135.08,749.08,330.92,30.64,62.42,0
2025,3,March,Q1,SW,South West,REPAIR,32,19,7,3,2280,1349,296.78,1645.78,634.22,27.82,86.62,0
2025,3,March,Q1,WAL,Wales,EXCHANGE,71,45,16,7,7425,3956,870.32,4826.32,2598.68,35,107.25,0
2025,3,March,Q1,WAL,Wales,NEW_INSTALL,69,49,11,3,9065,4769,1049.18,5818.18,3246.82,35.82,118.74,0
2025,3,March,Q1,WAL,Wales,REMOVAL,17,11,4,0,990,528,116.16,644.16,345.84,34.93,58.56,0
2025,3,March,Q1,WAL,Wales,REPAIR,30,25,3,1,3000,1663,365.86,2028.86,971.14,32.37,81.15,0
2025,3,March,Q1,YRK,Yorkshire,EXCHANGE,129,86,20,10,14190,7432,1635.04,9067.04,5122.96,36.1,105.43,0
2025,3,March,Q1,YRK,Yorkshire,NEW_INSTALL,118,75,22,7,13875,7391,1626.02,9017.02,4857.98,35.01,120.23,0
2025,3,March,Q1,YRK,Yorkshire,REMOVAL,30,20,4,3,1800,1074,236.28,1310.28,489.72,27.21,65.51,0
2025,3,March,Q1,YRK,Yorkshire,REPAIR,59,36,7,5,4320,2530,556.6,3086.6,1233.4,28.55,85.74,0
2025,4,April,Q2,MID,Midlands,EXCHANGE,201,132,31,13,21780,11318,2489.96,13807.96,7972.04,36.6,104.61,0
2025,4,April,Q2,MID,Midlands,NEW_INSTALL,168,112,21,14,20720,11172,2457.84,13629.84,7090.16,34.22,121.7,0
2025,4,April,Q2,MID,Midlands,REMOVAL,31,22,5,2,1980,1132,249.04,1381.04,598.96,30.25,62.77,0
2025,4,April,Q2,MID,Midlands,REPAIR,83,53,15,8,6360,3749,824.78,4573.78,1786.22,28.09,86.3,0
2025,4,April,Q2,NE,North East,EXCHANGE,118,87,10,7,14355,7400,1628,9028,5327,37.11,103.77,0
2025,4,April,Q2,NE,North East,NEW_INSTALL,86,58,13,2,10730,5586,1228.92,6814.92,3915.08,36.49,117.5,0
2025,4,April,Q2,NE,North East,REMOVAL,18,14,0,3,1260,786,172.92,958.92,301.08,23.9,68.49,0
2025,4,April,Q2,NE,North East,REPAIR,44,34,4,2,4080,2286,502.92,2788.92,1291.08,31.64,82.03,0
2025,4,April,Q2,NW,North West,EXCHANGE,156,102,23,16,16830,8972,1973.84,10945.84,5884.16,34.96,107.31,0
2025,4,April,Q2,NW,North West,NEW_INSTALL,126,82,20,14,15170,8322,1830.84,10152.84,5017.16,33.07,123.82,0
2025,4,April,Q2,NW,North West,REMOVAL,27,20,3,3,1800,1074,236.28,1310.28,489.72,27.21,65.51,0
2025,4,April,Q2,NW,North West,REPAIR,76,51,8,9,6120,3657,804.54,4461.54,1658.46,27.1,87.48,0
2025,4,April,Q2,SCO,Scotland,EXCHANGE,105,62,19,7,10230,5350,1177,6527,3703,36.2,105.27,0
2025,4,April,Q2,SCO,Scotland,NEW_INSTALL,90,61,12,4,11285,5947,1308.34,7255.34,4029.66,35.71,118.94,0
2025,4,April,Q2,SCO,Scotland,REMOVAL,20,15,2,3,1350,834,183.48,1017.48,332.52,24.63,67.83,0
2025,4,April,Q2,SCO,Scotland,REPAIR,46,32,4,4,3840,2232,491.04,2723.04,1116.96,29.09,85.09,0
2025,4,April,Q2,SE,South East,EXCHANGE,201,138,30,13,22770,11810,2598.2,14408.2,8361.8,36.72,104.41,0
2025,4,April,Q2,SE,South East,NEW_INSTALL,178,121,18,19,22385,12217,2687.74,14904.74,7480.26,33.42,123.18,0
2025,4,April,Q2,SE,South East,REMOVAL,34,26,5,0,2340,1248,274.56,1522.56,817.44,34.93,58.56,0
2025,4,April,Q2,SE,South East,REPAIR,99,67,14,10,8040,4735,1041.7,5776.7,2263.3,28.15,86.22,0
2025,4,April,Q2,SW,South West,EXCHANGE,109,76,15,5,12540,6422,1412.84,7834.84,4705.16,37.52,103.09,0
2025,4,April,Q2,SW,South West,NEW_INSTALL,82,61,8,4,11285,5947,1308.34,7255.34,4029.66,35.71,118.94,0
2025,4,April,Q2,SW,South West,REMOVAL,17,13,2,0,1170,624,137.28,761.28,408.72,34.93,58.56,0
2025,4,April,Q2,SW,South West,REPAIR,44,30,6,1,3600,1988,437.36,2425.36,1174.64,32.63,80.85,0
2025,4,April,Q2,WAL,Wales,EXCHANGE,86,56,13,6,9240,4820,1060.4,5880.4,3359.6,36.36,105.01,0
2025,4,April,Q2,WAL,Wales,NEW_INSTALL,76,55,9,4,10175,5377,1182.94,6559.94,3615.06,35.53,119.27,0
2025,4,April,Q2,WAL,Wales,REMOVAL,9,7,0,1,630,374,82.28,456.28,173.72,27.57,65.18,0
2025,4,April,Q2,WAL,Wales,REPAIR,24,16,6,0,1920,1040,228.8,1268.8,651.2,33.92,79.3,0
2025,4,April,Q2,YRK,Yorkshire,EXCHANGE,143,99,19,14,16335,8650,1903,10553,5782,35.4,106.6,0
2025,4,April,Q2,YRK,Yorkshire,NEW_INSTALL,118,82,14,13,15170,8284,1822.48,10106.48,5063.52,33.38,123.25,0
2025,4,April,Q2,YRK,Yorkshire,REMOVAL,22,14,5,1,1260,710,156.2,866.2,393.8,31.25,61.87,0
2025,4,April,Q2,YRK,Yorkshire,REPAIR,61,41,5,8,4920,2969,653.18,3622.18,1297.82,26.38,88.35,0
2025,5,May,Q2,MID,Midlands,EXCHANGE,185,131,32,11,21615,11160,2455.2,13615.2,7999.8,37.01,103.93,0
2025,5,May,Q2,MID,Midlands,NEW_INSTALL,172,123,27,8,22755,11989,2637.58,14626.58,8128.42,35.72,118.92,0
2025,5,May,Q2,MID,Midlands,REMOVAL,42,28,5,3,2520,1458,320.76,1778.76,741.24,29.41,63.53,0
2025,5,May,Q2,MID,Midlands,REPAIR,102,71,14,7,8520,4881,1073.82,5954.82,2565.18,30.11,83.87,0
2025,5,May,Q2,NE,North East,EXCHANGE,120,89,19,7,14685,7564,1664.08,9228.08,5456.92,37.16,103.69,0
2025,5,May,Q2,NE,North East,NEW_INSTALL,110,80,16,8,14800,7904,1738.88,9642.88,5157.12,34.85,120.54,0
2025,5,May,Q2,NE,North East,REMOVAL,25,19,0,3,1710,1026,225.72,1251.72,458.28,26.8,65.88,0
2025,5,May,Q2,NE,North East,REPAIR,40,30,8,2,3600,2026,445.72,2471.72,1128.28,31.34,82.39,0
2025,5,May,Q2,NW,North West,EXCHANGE,167,112,34,8,18480,9488,2087.36,11575.36,6904.64,37.36,103.35,0
2025,5,May,Q2,NW,North West,NEW_INSTALL,135,90,17,13,16650,9044,1989.68,11033.68,5616.32,33.73,122.6,0
2025,5,May,Q2,NW,North West,REMOVAL,31,19,6,3,1710,1026,225.72,1251.72,458.28,26.8,65.88,0
2025,5,May,Q2,NW,North West,REPAIR,73,53,4,10,6360,3825,841.5,4666.5,1693.5,26.63,88.05,0
2025,5,May,Q2,SCO,Scotland,EXCHANGE,108,74,16,11,12210,6486,1426.92,7912.92,4297.08,35.19,106.93,0
2025,5,May,Q2,SCO,Scotland,NEW_INSTALL,90,57,19,7,10545,5681,1249.82,6930.82,3614.18,34.27,121.59,0
2025,5,May,Q2,SCO,Scotland,REMOVAL,27,13,5,1,1170,662,145.64,807.64,362.36,30.97,62.13,0
2025,5,May,Q2,SCO,Scotland,REPAIR,48,33,7,5,3960,2335,513.7,2848.7,1111.3,28.06,86.32,0
2025,5,May,Q2,SE,South East,EXCHANGE,245,148,38,28,24420,13200,2904,16104,8316,34.05,108.81,0
2025,5,May,Q2,SE,South East,NEW_INSTALL,206,138,32,14,25530,13642,3001.24,16643.24,8886.76,34.81,120.6,0
2025,5,May,Q2,SE,South East,REMOVAL,33,20,3,5,1800,1150,253,1403,397,22.06,70.15,0
2025,5,May,Q2,SE,South East,REPAIR,82,60,12,1,7200,3938,866.36,4804.36,2395.64,33.27,80.07,0
2025,5,May,Q2,SW,South West,EXCHANGE,95,63,15,8,10395,5470,1203.4,6673.4,3721.6,35.8,105.93,0
2025,5,May,Q2,SW,South West,NEW_INSTALL,95,69,7,7,12765,6821,1500.62,8321.62,4443.38,34.81,120.6,0
2025,5,May,Q2,SW,South West,REMOVAL,20,16,2,1,1440,806,177.32,983.32,456.68,31.71,61.46,0
2025,5,May,Q2,SW,South West,REPAIR,47,32,5,5,3840,2270,499.4,2769.4,1070.6,27.88,86.54,0
2025,5,May,Q2,WAL,Wales,EXCHANGE,76,48,12,6,7920,4164,916.08,5080.08,2839.92,35.86,105.83,0
2025,5,May,Q2,WAL,Wales,NEW_INSTALL,69,44,11,6,8140,4408,969.76,5377.76,2762.24,33.93,122.22,0
2025,5,May,Q2,WAL,Wales,REMOVAL,19,13,4,0,1170,624,137.28,761.28,408.72,34.93,58.56,0
2025,5,May,Q2,WAL,Wales,REPAIR,45,37,1,4,4440,2557,562.54,3119.54,1320.46,29.74,84.31,0
2025,5,May,Q2,YRK,Yorkshire,EXCHANGE,135,103,13,7,16995,8712,1916.64,10628.64,6366.36,37.46,103.19,0
2025,5,May,Q2,YRK,Yorkshire,NEW_INSTALL,140,99,14,14,18315,9937,2186.14,12123.14,6191.86,33.81,122.46,0
2025,5,May,Q2,YRK,Yorkshire,REMOVAL,26,19,4,1,1710,950,209,1159,551,32.22,61,0
2025,5,May,Q2,YRK,Yorkshire,REPAIR,62,44,5,6,5280,3088,679.36,3767.36,1512.64,28.65,85.62,0
2025,6,June,Q2,MID,Midlands,EXCHANGE,210,148,22,17,24420,12782,2812.04,15594.04,8825.96,36.14,105.37,0
2025,6,June,Q2,MID,Midlands,NEW_INSTALL,190,137,18,19,25345,13737,3022.14,16759.14,8585.86,33.88,122.33,0
2025,6,June,Q2,MID,Midlands,REMOVAL,31,22,6,1,1980,1094,240.68,1334.68,645.32,32.59,60.67,0
2025,6,June,Q2,MID,Midlands,REPAIR,98,68,13,10,8160,4800,1056,5856,2304,28.24,86.12,0
2025,6,June,Q2,NE,North East,EXCHANGE,140,92,18,13,15180,8038,1768.36,9806.36,5373.64,35.4,106.59,0
2025,6,June,Q2,NE,North East,NEW_INSTALL,105,67,22,7,12395,6631,1458.82,8089.82,4305.18,34.73,120.74,0
2025,6,June,Q2,NE,North East,REMOVAL,18,16,1,0,1440,768,168.96,936.96,503.04,34.93,58.56,0
2025,6,June,Q2,NE,North East,REPAIR,50,37,5,3,4440,2519,554.18,3073.18,1366.82,30.78,83.06,0
2025,6,June,Q2,NW,North West,EXCHANGE,161,120,15,12,19800,10296,2265.12,12561.12,7238.88,36.56,104.68,0
2025,6,June,Q2,NW,North West,NEW_INSTALL,172,124,27,8,22940,12084,2658.48,14742.48,8197.52,35.73,118.89,0
2025,6,June,Q2,NW,North West,REMOVAL,20,11,3,2,990,604,132.88,736.88,253.12,25.57,66.99,0
2025,6,June,Q2,NW,North West,REPAIR,77,52,6,8,6240,3684,810.48,4494.48,1745.52,27.97,86.43,0
2025,6,June,Q2,SCO,Scotland,EXCHANGE,109,79,13,9,13035,6820,1500.4,8320.4,4714.6,36.17,105.32,0
2025,6,June,Q2,SCO,Scotland,NEW_INSTALL,104,73,13,9,13505,7277,1600.94,8877.94,4627.06,34.26,121.62,0
2025,6,June,Q2,SCO,Scotland,REMOVAL,16,11,4,0,990,528,116.16,644.16,345.84,34.93,58.56,0
2025,6,June,Q2,SCO,Scotland,REPAIR,54,38,7,3,4560,2584,568.48,3152.48,1407.52,30.87,82.96,0
2025,6,June,Q2,SE,South East,EXCHANGE,235,169,25,19,27885,14580,3207.6,17787.6,10097.4,36.21,105.25,0
2025,6,June,Q2,SE,South East,NEW_INSTALL,218,155,31,17,28675,15371,3381.62,18752.62,9922.38,34.6,120.98,0
2025,6,June,Q2,SE,South East,REMOVAL,41,24,7,4,2160,1304,286.88,1590.88,569.12,26.35,66.29,0
2025,6,June,Q2,SE,South East,REPAIR,107,70,14,13,8400,5044,1109.68,6153.68,2246.32,26.74,87.91,0
2025,6,June,Q2,SW,South West,EXCHANGE,101,67,17,7,11055,5760,1267.2,7027.2,4027.8,36.43,104.88,0
2025,6,June,Q2,SW,South West,NEW_INSTALL,97,66,14,5,12210,6460,1421.2,7881.2,4328.8,35.45,119.41,0
2025,6,June,Q2,SW,South West,REMOVAL,27,18,6,2,1620,940,206.8,1146.8,473.2,29.21,63.71,0
2025,6,June,Q2,SW,South West,REPAIR,46,27,11,4,3240,1907,419.54,2326.54,913.46,28.19,86.17,0
2025,6,June,Q2,WAL,Wales,EXCHANGE,99,63,14,12,10395,5622,1236.84,6858.84,3536.16,34.02,108.87,0
2025,6,June,Q2,WAL,Wales,NEW_INSTALL,61,43,5,6,7955,4313,948.86,5261.86,2693.14,33.85,122.37,0
2025,6,June,Q2,WAL,Wales,REMOVAL,16,13,2,0,1170,624,137.28,761.28,408.72,34.93,58.56,0
2025,6,June,Q2,WAL,Wales,REPAIR,39,27,4,2,3240,1831,402.82,2233.82,1006.18,31.05,82.73,0
2025,6,June,Q2,YRK,Yorkshire,EXCHANGE,150,100,24,12,16500,8656,1904.32,10560.32,5939.68,36,105.6,0
2025,6,June,Q2,YRK,Yorkshire,NEW_INSTALL,128,91,21,5,16835,8835,1943.7,10778.7,6056.3,35.97,118.45,0
2025,6,June,Q2,YRK,Yorkshire,REMOVAL,31,20,7,2,1800,1036,227.92,1263.92,536.08,29.78,63.2,0
2025,6,June,Q2,YRK,Yorkshire,REPAIR,68,49,10,5,5880,3375,742.5,4117.5,1762.5,29.97,84.03,0
2025,7,July,Q3,MID,Midlands,EXCHANGE,261,168,48,22,27720,14612,3214.64,17826.64,9893.36,35.69,106.11,0
2025,7,July,Q3,MID,Midlands,NEW_INSTALL,212,140,36,20,25900,14060,3093.2,17153.2,8746.8,33.77,122.52,0
2025,7,July,Q3,MID,Midlands,REMOVAL,41,27,7,4,2430,1448,318.56,1766.56,663.44,27.3,65.43,0
2025,7,July,Q3,MID,Midlands,REPAIR,113,83,11,3,9960,5509,1211.98,6720.98,3239.02,32.52,80.98,0
2025,7,July,Q3,NE,North East,EXCHANGE,150,104,17,15,17160,9098,2001.56,11099.56,6060.44,35.32,106.73,0
2025,7,July,Q3,NE,North East,NEW_INSTALL,127,69,27,14,12765,7087,1559.14,8646.14,4118.86,32.27,125.31,0
2025,7,July,Q3,NE,North East,REMOVAL,26,14,5,2,1260,748,164.56,912.56,347.44,27.57,65.18,0
2025,7,July,Q3,NE,North East,REPAIR,70,43,13,5,5160,2985,656.7,3641.7,1518.3,29.42,84.69,0
2025,7,July,Q3,NW,North West,EXCHANGE,208,138,33,16,22770,11924,2623.28,14547.28,8222.72,36.11,105.42,0
2025,7,July,Q3,NW,North West,NEW_INSTALL,184,124,25,21,22940,12578,2767.16,15345.16,7594.84,33.11,123.75,0
2025,7,July,Q3,NW,North West,REMOVAL,29,16,6,5,1440,958,210.76,1168.76,271.24,18.84,73.05,0
2025,7,July,Q3,NW,North West,REPAIR,98,74,14,4,8880,4962,1091.64,6053.64,2826.36,31.83,81.81,0
2025,7,July,Q3,SCO,Scotland,EXCHANGE,137,80,27,15,13200,7130,1568.6,8698.6,4501.4,34.1,108.73,0
2025,7,July,Q3,SCO,Scotland,NEW_INSTALL,123,72,26,12,13320,7296,1605.12,8901.12,4418.88,33.17,123.63,0
2025,7,July,Q3,SCO,Scotland,REMOVAL,26,15,6,2,1350,796,175.12,971.12,378.88,28.07,64.74,0
2025,7,July,Q3,SCO,Scotland,REPAIR,61,43,10,4,5160,2947,648.34,3595.34,1564.66,30.32,83.61,0
2025,7,July,Q3,SE,South East,EXCHANGE,308,225,32,20,37125,19210,4226.2,23436.2,13688.8,36.87,104.16,0
2025,7,July,Q3,SE,South East,NEW_INSTALL,252,173,40,19,32005,17157,3774.54,20931.54,11073.46,34.6,120.99,0
2025,7,July,Q3,SE,South East,REMOVAL,38,26,7,2,2340,1324,291.28,1615.28,724.72,30.97,62.13,0
2025,7,July,Q3,SE,South East,REPAIR,127,95,15,4,11400,6327,1391.94,7718.94,3681.06,32.29,81.25,0
2025,7,July,Q3,SW,South West,EXCHANGE,128,91,16,9,15015,7804,1716.88,9520.88,5494.12,36.59,104.63,0
2025,7,July,Q3,SW,South West,NEW_INSTALL,106,77,12,7,14245,7581,1667.82,9248.82,4996.18,35.07,120.11,0
2025,7,July,Q3,SW,South West,REMOVAL,23,12,6,1,1080,614,135.08,749.08,330.92,30.64,62.42,0
